event_id,device_id,timestamp,longitude,latitude
1,29182687948017175,2016-05-01 00:55:25,121.38,31.24
2,-6401643145415154744,2016-05-01 00:54:12,103.65,30.97
3,-4833982096941402721,2016-05-01 00:08:05,106.6,29.7
4,-6815121365017318426,2016-05-01 00:06:40,104.27,23.28
5,-5373797595892518570,2016-05-01 00:07:18,115.88,28.66
6,1476664663289716375,2016-05-01 00:27:21,0,0
7,5990807147117726237,2016-05-01 00:15:13,113.73,23
8,1782450055857303792,2016-05-01 00:15:35,113.94,34.7
9,-2073340001552902943,2016-05-01 00:15:33,0,0
10,-8195816569128397698,2016-05-01 00:41:31,119.34,26.04
11,8663743929678393765,2016-05-01 00:44:13,106.71,39.51
12,8663743929678393765,2016-05-01 00:45:30,106.71,39.51
13,8640114685470534007,2016-05-01 00:44:53,117.73,34.92
14,-5373797595892518570,2016-05-01 00:36:21,115.88,28.66
15,2504414082456157897,2016-05-01 00:40:45,120.62,31.31
16,9070651185984875886,2016-05-01 00:06:06,0,0
17,-460438353776005388,2016-05-01 00:06:33,118.44,24.71
18,2271670507584822423,2016-05-01 00:06:27,111.46,35.64
19,9161556264947841692,2016-05-01 00:17:37,0,0
20,6130108008013735751,2016-05-01 00:17:33,129.51,42.91
21,8546251726684589793,2016-05-01 00:41:54,120.66,31.31
22,-1663840927569383079,2016-05-01 00:43:15,116.45,33.93
23,1186608308763918427,2016-04-30 23:56:43,113.58,23.55
24,-6672877056143385791,2016-04-30 23:57:33,87.59,43.82
25,-4984460214693442980,2016-04-30 23:58:37,120.07,31.75
26,4830593356246717684,2016-05-01 00:45:41,121.57,38.93
27,-2668732172869127974,2016-05-01 00:46:35,132.03,47.25
28,-7745575547510100089,2016-05-01 00:27:20,117.27,34.82
29,7166563712658305181,2016-05-01 00:31:40,117.96,28.47
30,-6615032828577640034,2016-05-01 00:28:03,0,0
31,-5106447321904784333,2016-05-01 00:29:12,108.62,34.09
32,1682568851428303645,2016-05-01 00:29:35,116.42,39.9
33,-4993407482707979325,2016-05-01 00:42:07,113.39,23.12
34,-2305954534288337474,2016-05-01 00:55:41,118.33,35.05
35,-3449419341168524142,2016-05-01 00:25:41,0,0
36,-6495303330948269546,2016-05-01 00:26:58,113.8,34.02
37,-2114959700836660347,2016-05-01 00:26:58,115.18,38.18
38,-7694547856539765687,2016-04-30 23:57:25,114.43,30.51
39,-6542093539413689868,2016-05-01 00:20:11,0,0
40,-5638521260975573107,2016-05-01 00:19:59,0,0
41,-2107177132625990978,2016-05-01 00:17:17,114.7,34.52
42,-8295895346874348777,2016-05-01 00:26:34,112.24,22.89
43,-3863326918807549169,2016-05-01 00:32:34,114.05,22.64
44,-4713356591613805069,2016-05-01 00:33:14,113.37,28.25
45,-7733395605616071501,2016-05-01 00:33:53,120.21,27.31
46,182836445212489362,2016-05-01 00:16:00,114.33,22.69
47,8975547711407443166,2016-05-01 00:56:51,113.36,22.94
48,6752290732094543435,2016-05-01 00:10:46,113.93,23.11
49,7769150926490140849,2016-05-01 00:11:59,121.58,31.09
50,656236815094512043,2016-05-01 00:11:36,114.94,26.79
51,3645702257068268327,2016-05-01 00:07:36,117.11,39.04
52,-805165251400681658,2016-04-30 23:57:03,105.62,27.23
53,-4047091239451547677,2016-04-30 23:57:27,113.21,22.59
54,-7868922663453980926,2016-04-30 23:57:41,113.11,23.04
55,8884625593579215667,2016-04-30 23:58:41,104.15,35.95
56,-3414631284970241628,2016-04-30 23:55:06,114.44,36.64
57,8292388373526453818,2016-04-30 23:54:44,116.46,39.89
58,8523157510836032317,2016-05-01 00:46:47,0,0
59,3129668152512862587,2016-05-01 00:50:53,116.3,39.75
60,5861096429563062512,2016-05-01 00:50:17,113.3,23.23
61,-1593861387409811850,2016-05-01 00:00:04,110.4,25.31
62,-8595047500831259214,2016-05-01 00:00:17,0,0
63,7700200884646630906,2016-05-01 00:45:16,121.88,29.47
